checked_at_utc;category;check_name;status;actual;expected;evidence_file;details
2026-07-31T15:51:41.590513+00:00;migrations;migration_first;success;"exit_code=0; marker_found=True";"exit_code=0; output contains 'migration_status=success'";D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\migration_first.log;
2026-07-31T15:51:41.590513+00:00;migrations;migration_second;success;"exit_code=0; marker_found=True";"exit_code=0; output contains 'migration_status=success'";D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\migration_second.log;
2026-07-31T15:51:41.590513+00:00;tests;integration_tests;success;"exit_code=0; database=crypto_trading_test";exit_code=0 against an isolated TEST_DATABASE_URL;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\integration_tests.log;
2026-07-31T15:51:41.590513+00:00;raw_to_dds;raw_to_dds_first;success;"exit_code=0; marker_found=True";"exit_code=0; output contains 'run='";D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\raw_to_dds_first.log;
2026-07-31T15:51:41.590513+00:00;raw_to_dds;raw_to_dds_repeat;success;source=0 inserted=0 rejected=0 deferred=0;"exit_code=0; inserted=0; rejected=0; deferred=0";D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\raw_to_dds_repeat.log;
2026-07-31T15:51:41.590513+00:00;database;raw_check;success;"raw=169; duplicates=0; gaps=0; invalid_time=0; invalid_ohlc=0; loading_journal=success";"RAW rows > 0; no duplicates/gaps/invalid rows; latest journal status=success";D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\database_diagnostics.json;
2026-07-31T15:51:41.590513+00:00;database;raw_to_dds_journals;success;"previous_run=4:success; latest_run=5:success; latest source=0 inserted=0 rejected=0 deferred=0";"two successful runs; repeat inserted=0, rejected=0, deferred=0";D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\database_diagnostics.json;
2026-07-31T15:51:41.590513+00:00;database;checkpoint;success;"last_loaded_at=2026-07-31T12:22:34.827827+00:00; last_run_at=2026-07-31T15:51:38.291860+00:00";checkpoint exists and has timestamps;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\database_diagnostics.json;
2026-07-31T15:51:41.590513+00:00;database;data_quality_events;success;"count=0; latest=";count=0;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\database_diagnostics.json;
2026-07-31T15:51:41.590513+00:00;database;final_database_check;success;"dds_count=169; running_etl=0; status=true";status=success;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\database_diagnostics.json;
2026-07-31T15:51:41.590513+00:00;ci;ci_commit_matches_local;success;"local_sha=ac6b6254ba9aadb7c738dcdd883a9e4e6a8f259b; ci_sha=ac6b6254ba9aadb7c738dcdd883a9e4e6a8f259b";latest completed CI belongs to the current local commit;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\git_head.log;
2026-07-31T15:51:41.590513+00:00;ci;tracked_worktree_clean;success;clean;no uncommitted changes in tracked files;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\git_tracked_status.log;Untracked diagnostics and logs are intentionally ignored.
2026-07-31T15:51:41.590513+00:00;ci;Ruff;success;"conclusion=success; sha=ac6b6254ba9aadb7c738dcdd883a9e4e6a8f259b; url=https://github.com/eignat88/crypto_trading_system/actions/runs/30644166223";conclusion=success;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\ci_run_view.log;
2026-07-31T15:51:41.590513+00:00;ci;Unit tests;success;"conclusion=success; sha=ac6b6254ba9aadb7c738dcdd883a9e4e6a8f259b; url=https://github.com/eignat88/crypto_trading_system/actions/runs/30644166223";conclusion=success;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\ci_run_view.log;
2026-07-31T15:51:41.590513+00:00;ci;PostgreSQL 17 integration;success;"conclusion=success; sha=ac6b6254ba9aadb7c738dcdd883a9e4e6a8f259b; url=https://github.com/eignat88/crypto_trading_system/actions/runs/30644166223";conclusion=success;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134\ci_run_view.log;
2026-07-31T15:51:41.590513+00:00;decision;full_history_load;success;full historical load is allowed;all mandatory checks have status=success;D:\py_pro\crypto_trading_system\logs\readiness_bybit_BTCUSDT_1h_20260731_155134;Do not restart the three-year load. Inspect failed checks and database journals.
